AT,V,AP,RH,PE,cooks_distance
16.69,44.78,1010.41,58.18,456.17,1.616911453529858e-05
24.12,58.66,1011.55,58.96,450.69,6.466166764634957e-06
9.08,40.02,1031.2,75.34,476.69,1.543174585706454e-05
9.6,41.82,1032.93,72.63,475.01,3.520330436106997e-05
20.77,56.85,1012.4,83.63,442.85,2.9709283919709682e-05
29.23,77.3,1002.71,65.24,438.05,8.759826262225346e-05
30.98,69.82,1009.17,50.63,438.44,2.1599430542565505e-05
10.84,40.27,1005.24,87.27,479.22,0.00022346947070542476
7.52,41.66,1015.2,78.41,483.28,7.452163482436675e-05
17.27,43.52,1021.37,76.73,460.08,1.6690288191936384e-05
25.78,47.93,1003.67,67.23,442.46,1.808671496814363e-05
22.32,47.93,1004.07,86.95,440.21,0.0001209328763775559
12.82,38.62,1018.71,83.8,467.41,6.855045951045176e-06
18.47,62.1,1019.86,82.57,452.51,4.9589741579248935e-06
32.31,66.44,1009.6,63.92,428.44,2.2624225548183228e-05
21.6,66.86,1013.02,54.19,450.84,1.4233517904685808e-05
23.3,48.78,1018.17,75.36,441.08,0.00014299177914708217
16.44,53.82,1015.4,63.16,462.09,4.77900741895537e-06
24.48,50.23,1017.03,66.89,456.02,1.008871890176247e-05
27.32,66.54,1004.95,72.58,431.33,2.4226738557127834e-05
18.98,38.52,1018.85,63.16,454.6,8.96253287688133e-05
8.03,40.07,1016.06,47.46,488.02,0.0004017822756301241
21.01,44.05,1010.61,64.12,445.07,8.399713513913913e-05
15.7,44.21,1021.26,86.83,462.19,1.2650058866732126e-05
18.14,67.71,1003.82,95.69,442.45,2.509016906096223e-05
26.3,51.43,1012.05,63.62,442.28,1.964236056573579e-05
15.28,43.71,1024.32,81.24,463.44,2.224832880493905e-05
15.92,39.16,1006.59,71.32,460.45,2.998050906263605e-06
6.53,42.85,1012.65,91.6,480.98,6.383951724415328e-05
30.81,71.97,1008.36,75.0,430.53,2.9886959974901763e-06
17.95,49.21,1012.05,59.44,455.1,4.573150335613242e-06
21.24,44.3,1014.34,83.39,444.0,0.00013137492912755424
18.44,39.72,1001.14,66.83,460.44,2.442881781534857e-05
21.09,46.63,1013.03,74.8,453.34,2.8731868562330654e-06
27.92,74.99,1005.47,75.13,431.76,1.7793755331905222e-06
24.1,68.61,1010.97,74.87,443.75,1.1077126383598438e-06
30.6,72.29,1010.54,41.52,441.5,8.321373100120148e-05
14.77,44.9,1020.5,84.31,465.23,1.1819998447368553e-06
24.51,51.86,1014.64,67.57,446.74,7.5110600311602505e-06
24.05,61.87,1009.64,54.54,442.16,4.491153299361576e-06
20.4,57.85,1011.14,92.47,450.07,5.405872719787162e-07
30.03,68.84,1011.41,53.82,439.31,8.86244085948859e-06
12.2,44.77,1018.64,76.1,469.41,1.9081605192854878e-07
7.87,43.02,1014.67,83.58,485.61,0.0001333964141619581
21.44,63.09,1016.56,90.11,444.19,2.8140278130646964e-05
25.12,71.58,1010.18,87.5,433.58,3.570042406260591e-05
27.99,71.64,1007.79,72.67,437.81,4.028582125865102e-06
25.56,70.32,1009.07,90.63,433.72,3.212050459477321e-05
18.68,56.65,1020.38,80.26,455.79,1.409506039844458e-06
23.76,61.5,1009.15,68.52,441.16,5.464361020812358e-06
30.08,67.25,1017.6,53.09,434.01,3.030135301342463e-05
27.94,49.16,1004.22,35.46,436.75,0.00012098707311979078
16.02,44.21,1020.97,85.64,462.51,7.715353191303249e-06
20.2,50.9,1011.72,77.63,454.09,4.2010306626746077e-08
25.31,49.82,1014.62,62.15,453.05,4.552028362611126e-06
9.7,37.14,1012.79,75.2,475.77,9.492956418524663e-06
20.83,70.72,1009.56,89.37,446.48,4.8949799856934916e-06
25.31,61.5,1009.31,63.31,437.03,1.7080448815634765e-05
24.8,68.3,1018.01,80.41,436.17,6.918271075718503e-05
8.23,41.01,1022.89,98.03,474.52,4.3751841663217035e-06
14.77,44.47,1028.38,71.18,464.25,5.335375708624761e-05
20.12,45.09,1013.73,57.78,448.35,6.451094531307248e-05
12.27,43.8,1023.21,57.0,468.55,8.674393640229422e-06
21.37,65.94,1010.73,75.09,444.74,1.3500765520726027e-06
28.84,75.6,1018.41,53.96,442.69,4.207128771290576e-05
