Model,MSE (Train),MAE (Train),R2 (Train),MSE (Test),MAE (Test),R2 (Test)
LinearRegression,123.3842,5.1987,0.6502,125.1134,5.0525,0.6426
Ridge (alpha=0.01),123.3842,5.1987,0.6502,125.1134,5.0525,0.6426
Ridge (alpha=0.1),123.3842,5.1987,0.6502,125.1134,5.0525,0.6426
Ridge (alpha=1),123.3842,5.1987,0.6502,125.1134,5.0525,0.6426
Ridge (alpha=10),123.3842,5.1987,0.6502,125.1137,5.0525,0.6426
Ridge (alpha=100),123.3842,5.1993,0.6502,125.1165,5.053,0.6426
Lasso (alpha=0.01),123.3842,5.1989,0.6502,125.1153,5.0526,0.6426
Lasso (alpha=0.1),123.3846,5.2017,0.6502,125.1345,5.0553,0.6425
Lasso (alpha=1),123.4212,5.2295,0.6501,125.3384,5.0831,0.6419
Lasso (alpha=10),126.1415,5.5404,0.6424,128.9021,5.4088,0.6318
Lasso (alpha=100),234.6559,11.2855,0.3347,233.0643,11.2587,0.3342
